15:31:55.918-[DESKTOP-44TL0F9][sys]-- INFO 12160 --- [           main] com.zwnl.user.UserApplication            : The following 1 profile is active: "local"
15:31:56.466-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationParameterReader.class]
15:31:56.466-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationTagsReader.class]
15:31:56.467-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/ApiOperationReader.class]
15:31:56.467-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/DefaultOperationReader.class]
15:31:56.467-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationParameterRequestConditionReader.class]
15:31:56.467-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationParameterHeadersConditionReader.class]
15:31:56.468-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/ContentParameterAggregator.class]
15:31:56.468-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationResponseClassReader.class]
15:31:56.468-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/CachingOperationNameGenerator.class]
15:31:56.469-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ParameterMultiplesReader.class]
15:31:56.471-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ModelAttributeParameterExpander.class]
15:31:56.471-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ParameterTypeReader.class]
15:31:56.471-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ParameterRequiredReader.class]
15:31:56.472-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ParameterDataTypeReader.class]
15:31:56.472-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ParameterDefaultReader.class]
15:31:56.472-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ParameterNameReader.class]
15:31:56.473-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/parameter/ExpandedParameterBuilder.class]
15:31:56.475-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/plugins/DefaultResponseTypeReader.class]
15:31:56.478-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/plugins/DocumentationPluginsBootstrapper.class]
15:31:56.479-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/plugins/DocumentationPluginsManager.class]
15:31:56.480-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-webmvc/3.0.0/springfox-spring-webmvc-3.0.0.jar!/springfox/documentation/spring/web/plugins/WebMvcRequestHandlerProvider.class]
15:31:56.481-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/paths/QueryStringUriTemplateDecorator.class]
15:31:56.481-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/paths/PathMappingDecorator.class]
15:31:56.482-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/paths/PathSanitizer.class]
15:31:56.482-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/paths/OperationPathDecorator.class]
15:31:56.507-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/JacksonJsonViewProvider.class]
15:31:56.507-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/CachingModelDependencyProvider.class]
15:31:56.509-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/TypeNameExtractor.class]
15:31:56.509-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/plugins/PropertyDiscriminatorBasedInheritancePlugin.class]
15:31:56.511-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/plugins/SchemaPluginsManager.class]
15:31:56.511-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/plugins/JsonIgnorePropertiesModelPlugin.class]
15:31:56.513-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/CachingModelPropertiesProvider.class]
